;fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality;;;;;;;;;;;;;;;;;;;;;;;;;
66;06.фев;0.35;0.03;01.фев;0.064;29;120;0.9934;мар.22;0.54;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
67;06.апр;0.26;0.24;06.апр;0.04;27;124;0.9903;мар.22;0.49;12.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
68;06.июл;0.25;0.13;01.фев;0.041;81;174;0.992;мар.14;0.42;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
69;06.июл;0.23;0.31;02.янв;0.046;30;96;0.9926;мар.33;0.64;10.июл;8;;;;;;;;;;;;;;;;;;;;;;;;;
70;07.апр;0.24;0.29;10.янв;0.05;21;105;0.9962;мар.13;0.35;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
71;06.фев;0.27;0.43;07.авг;0.056;48;244;0.9956;03.янв;0.51;9;6;;;;;;;;;;;;;;;;;;;;;;;;;
72;06.авг;0.3;0.23;04.июн;0.061;50.5;238.5;0.9958;мар.32;0.6;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
73;6;0.27;0.28;04.авг;0.063;31;201;0.9964;мар.69;0.71;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
74;08.июн;0.23;0.46;1;0.054;9;72;0.9941;фев.95;0.49;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
75;06.июл;0.23;0.31;02.янв;0.046;30;96;0.9926;мар.33;0.64;10.июл;8;;;;;;;;;;;;;;;;;;;;;;;;;
76;07.апр;0.24;0.29;10.янв;0.05;21;105;0.9962;мар.13;0.35;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
77;07.янв;0.18;0.36;01.апр;0.043;31;87;0.9898;мар.26;0.37;12.июл;7;;;;;;;;;;;;;;;;;;;;;;;;;
78;7;0.32;0.34;01.мар;0.042;20;69;0.9912;мар.31;0.65;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
79;07.апр;0.18;0.3;08.авг;0.064;26;103;0.9961;фев.94;0.56;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
80;06.июл;0.54;0.28;05.апр;0.06;21;105;0.9949;мар.27;0.37;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
81;06.авг;0.22;0.31;01.апр;0.053;34;114;0.9929;мар.39;0.77;10.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
82;07.янв;0.2;0.34;16;0.05;51;166;0.9985;мар.21;0.6;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
83;07.янв;0.34;0.2;06.янв;0.063;47;164;0.9946;мар.17;0.42;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
84;07.мар;0.22;0.3;08.фев;0.047;42;207;0.9966;мар.33;0.46;09.май;6;;;;;;;;;;;;;;;;;;;;;;;;;
85;07.янв;0.43;0.61;11.авг;0.045;54;155;0.9974;03.ноя;0.45;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
86;07.янв;0.44;0.62;11.авг;0.044;52;152;0.9975;03.дек;0.46;08.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
87;07.фев;0.39;0.63;11;0.044;55;156;0.9974;03.сен;0.44;08.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
88;06.авг;0.25;0.31;13.мар;0.05;69;202;0.9972;мар.22;0.48;09.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
89;07.янв;0.43;0.61;11.авг;0.045;54;155;0.9974;03.ноя;0.45;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
90;07.янв;0.44;0.62;11.авг;0.044;52;152;0.9975;03.дек;0.46;08.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
91;07.фев;0.39;0.63;11;0.044;55;156;0.9974;03.сен;0.44;08.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
92;06.янв;0.27;0.43;07.май;0.049;65;243;0.9957;03.дек;0.47;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
93;06.сен;0.24;0.33;01.июл;0.035;47;136;0.99;мар.26;0.4;12.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
94;06.сен;0.21;0.33;01.авг;0.034;48;136;0.9899;мар.25;0.41;12.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
95;07.май;0.17;0.32;01.июл;0.04;51;148;0.9916;мар.21;0.44;11.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
96;07.янв;0.26;0.29;12.апр;0.044;62;240;0.9969;03.апр;0.42;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
97;6;0.34;0.66;15.сен;0.046;26;164;0.9979;мар.14;0.5;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
98;08.июн;0.265;0.36;01.фев;0.034;15;80;0.9913;фев.95;0.36;11.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
99;09.авг;0.36;0.46;10.май;0.038;4;83;0.9956;фев.89;0.3;10.янв;4;;;;;;;;;;;;;;;;;;;;;;;;;
100;6;0.34;0.66;15.сен;0.046;26;164;0.9979;мар.14;0.5;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
101;07.апр;0.25;0.37;13.май;0.06;52;192;0.9975;3;0.44;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
102;07.янв;0.12;0.32;09.июн;0.054;64;162;0.9962;03.апр;0.41;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
103;6;0.21;0.24;12.янв;0.05;55;164;0.997;мар.34;0.39;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
104;07.май;0.305;0.4;18.сен;0.059;44;170;1;фев.99;0.46;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
105;07.апр;0.25;0.37;13.май;0.06;52;192;0.9975;3;0.44;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
106;07.мар;0.13;0.32;14.апр;0.051;34;109;0.9974;03.фев;0.35;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
107;07.янв;0.12;0.32;09.июн;0.054;64;162;0.9962;03.апр;0.41;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
108;07.янв;0.23;0.35;16.май;0.04;60;171;0.999;мар.16;0.59;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
109;07.янв;0.23;0.35;16.май;0.04;60;171;0.999;мар.16;0.59;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
110;06.сен;0.33;0.28;01.мар;0.051;37;187;0.9927;мар.27;0.6;10.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
111;06.май;0.17;0.54;08.май;0.082;64;163;0.9959;фев.89;0.39;08.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
112;07.фев;0.27;0.46;18.75;0.052;45;255;1;03.апр;0.52;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
113;07.фев;0.31;0.5;13.мар;0.056;68;195;0.9982;03.янв;0.47;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
114;06.июл;0.41;0.34;09.фев;0.049;29;150;0.9968;мар.22;0.51;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
115;06.июл;0.41;0.34;09.фев;0.049;29;150;0.9968;мар.22;0.51;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
116;05.май;0.485;0;01.май;0.065;8;103;0.994;мар.63;0.4;09.июл;4;;;;;;;;;;;;;;;;;;;;;;;;;
117;6;0.31;0.24;03.мар;0.041;25;143;0.9914;мар.31;0.44;11.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
118;7;0.14;0.4;01.июл;0.035;16;85;0.9911;мар.19;0.42;11.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
119;07.фев;0.31;0.5;13.мар;0.056;68;195;0.9982;03.янв;0.47;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
120;07.мар;0.32;0.48;13.мар;0.06;57;196;0.9982;03.апр;0.5;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
121;05.сен;0.36;0.04;05.июл;0.046;21;87;0.9934;мар.22;0.51;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
122;07.авг;0.24;0.32;12.фев;0.054;42;138;0.9984;03.янв;0.54;08.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
123;07.апр;0.16;0.31;июн.85;0.059;31;131;0.9952;мар.29;0.34;09.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
124;06.сен;0.19;0.28;5;0.058;14;146;0.9952;мар.29;0.36;09.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
125;06.апр;0.13;0.47;01.июн;0.092;40;158;0.9928;мар.21;0.36;09.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
126;06.июл;0.19;0.36;01.янв;0.026;63;143;0.9912;мар.27;0.48;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
127;07.апр;0.39;0.23;7;0.033;29;126;0.994;мар.14;0.42;10.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
128;06.май;0.24;0.32;07.июн;0.038;48;203;0.9958;мар.45;0.54;09.июл;7;;;;;;;;;;;;;;;;;;;;;;;;;
129;06.янв;0.3;0.56;02.авг;0.044;47;179;0.9924;03.мар;0.57;10.сен;7;;;;;;;;;;;;;;;;;;;;;;;;;
130;06.янв;0.3;0.56;02.июл;0.046;46;184;0.9924;мар.31;0.57;10.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
131;05.июл;0.26;0.25;10.апр;0.02;7;57;0.994;мар.39;0.37;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
132;06.май;0.24;0.32;07.июн;0.038;48;203;0.9958;мар.45;0.54;09.июл;7;;;;;;;;;;;;;;;;;;;;;;;;;
133;06.май;0.425;0.4;13.янв;0.038;59;241;0.9979;мар.23;0.57;9;5;;;;;;;;;;;;;;;;;;;;;;;;;
134;06.июн;0.24;0.27;15.авг;0.035;46;188;0.9982;мар.24;0.51;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
135;06.авг;0.27;0.22;08.янв;0.034;55;203;0.9961;мар.19;0.52;08.сен;5;;;;;;;;;;;;;;;;;;;;;;;;;
136;06.июл;0.27;0.31;15.июл;0.036;44;179;0.9979;мар.26;0.56;09.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
137;08.фев;0.23;0.4;01.фев;0.027;36;121;0.992;03.дек;0.38;10.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
138;07.янв;0.37;0.67;10.май;0.045;49;155;0.9975;мар.16;0.44;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
139;06.авг;0.19;0.36;01.сен;0.035;30;96;0.9917;мар.15;0.54;10.авг;7;;;;;;;;;;;;;;;;;;;;;;;;;
140;08.янв;0.28;0.39;01.сен;0.029;18;79;0.9923;мар.23;0.52;11.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
141;06.мар;0.31;0.34;02.фев;0.045;20;77;0.9927;03.мар;0.43;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
142;07.янв;0.37;0.67;10.май;0.045;49;155;0.9975;мар.16;0.44;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
143;07.сен;0.21;0.4;01.фев;0.039;38;107;0.992;мар.21;0.54;10.авг;6;;;;;;;;;;;;;;;;;;;;;;;;;
144;08.май;0.21;0.41;04.мар;0.036;24;99;0.9947;мар.18;0.53;09.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
145;08.янв;0.2;0.4;2;0.037;19;87;0.9921;03.дек;0.54;11.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
146;06.мар;0.255;0.37;01.янв;0.04;37;114;0.9905;3;0.39;10.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
147;05.июн;0.16;0.27;01.апр;0.044;53;168;0.9918;мар.28;0.37;10.янв;6;;;;;;;;;;;;;;;;;;;;;;;;;
148;06.апр;0.595;0.14;05.фев;0.058;15;97;0.9951;мар.38;0.36;9;4;;;;;;;;;;;;;;;;;;;;;;;;;
149;06.мар;0.34;0.33;04.июн;0.034;19;80;0.9917;мар.38;0.58;12;7;;;;;;;;;;;;;;;;;;;;;;;;;
150;06.сен;0.25;0.3;04.янв;0.054;23;116;0.994;фев.99;0.38;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
151;07.сен;0.22;0.38;8;0.043;46;152;0.9934;03.дек;0.32;11.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
152;07.июн;0.18;0.46;10.фев;0.055;58;135;0.9968;мар.14;0.43;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
153;06.сен;0.25;0.3;04.янв;0.054;23;116;0.994;фев.99;0.38;09.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
154;07.фев;0.18;0.41;01.фев;0.048;41;97;0.9919;мар.14;0.45;10.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
155;08.фев;0.23;0.4;07.май;0.049;12;76;0.9966;03.июн;0.84;09.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
156;07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
157;07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
158;06.янв;0.32;0.24;01.май;0.036;38;124;0.9898;мар.29;0.42;12.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
159;05.фев;0.44;0.04;01.апр;0.036;43;119;0.9894;мар.36;0.33;12.янв;8;;;;;;;;;;;;;;;;;;;;;;;;;
160;05.фев;0.44;0.04;01.апр;0.036;43;119;0.9894;мар.36;0.33;12.янв;8;;;;;;;;;;;;;;;;;;;;;;;;;
161;06.янв;0.32;0.24;01.май;0.036;38;124;0.9898;мар.29;0.42;12.апр;7;;;;;;;;;;;;;;;;;;;;;;;;;
162;06.апр;0.22;0.56;14.май;0.055;27;159;0.998;фев.98;0.4;09.янв;5;;;;;;;;;;;;;;;;;;;;;;;;;
163;06.мар;0.36;0.3;04.авг;0.049;14;85;0.9932;мар.28;0.39;10.июн;5;;;;;;;;;;;;;;;;;;;;;;;;;
164;07.апр;0.24;0.42;14;0.066;48;198;0.9979;фев.89;0.42;08.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
165;06.июл;0.24;0.35;13.янв;0.05;64;205;0.997;мар.15;0.5;09.май;5;;;;;;;;;;;;;;;;;;;;;;;;;
166;7;0.23;0.36;13;0.051;72;177;0.9972;мар.16;0.49;09.авг;5;;;;;;;;;;;;;;;;;;;;;;;;;
167;08.апр;0.27;0.46;08.июл;0.048;39;197;0.9974;мар.14;0.59;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
168;06.июл;0.46;0.18;02.апр;0.034;25;98;0.9896;03.авг;0.44;12.июн;7;;;;;;;;;;;;;;;;;;;;;;;;;
169;07.май;0.29;0.31;авг.95;0.055;20;151;0.9968;03.авг;0.54;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
170;09.авг;0.42;0.48;сен.85;0.034;5;110;0.9958;фев.87;0.29;10;5;;;;;;;;;;;;;;;;;;;;;;;;;
171;07.янв;0.3;0.46;01.май;0.066;29;133;0.9906;03.дек;0.54;12.июл;6;;;;;;;;;;;;;;;;;;;;;;;;;
172;07.сен;0.19;0.45;01.май;0.045;17;96;0.9917;мар.13;0.39;11;6;;;;;;;;;;;;;;;;;;;;;;;;;
173;07.июн;0.48;0.37;0.8;0.037;4;100;0.9902;03.мар;0.39;11.апр;4;;;;;;;;;;;;;;;;;;;;;;;;;
174;06.мар;0.22;0.43;апр.55;0.038;31;130;0.9918;мар.35;0.33;11.май;7;;;;;;;;;;;;;;;;;;;;;;;;;
175;07.май;0.27;0.31;17.июл;0.051;33;173;0.999;03.сен;0.64;10.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
176;06.сен;0.23;0.4;07.май;0.04;50;151;0.9927;03.ноя;0.27;11.апр;6;;;;;;;;;;;;;;;;;;;;;;;;;
177;07.фев;0.32;0.47;05.янв;0.044;19;65;0.991;03.мар;0.41;12.июн;4;;;;;;;;;;;;;;;;;;;;;;;;;
178;05.сен;0.23;0.3;12.сен;0.054;57;170;0.9972;мар.28;0.39;09.апр;5;;;;;;;;;;;;;;;;;;;;;;;;;
179;6;0.67;0.07;01.фев;0.06;9;108;0.9931;03.ноя;0.35;08.июл;4;;;;;;;;;;;;;;;;;;;;;;;;;
180;06.апр;0.25;0.32;05.май;0.049;41;176;0.995;мар.19;0.68;09.фев;6;;;;;;;;;;;;;;;;;;;;;;;;;
181;06.апр;0.33;0.31;05.май;0.048;42;173;0.9951;мар.19;0.66;09.мар;6;;;;;;;;;;;;;;;;;;;;;;;;;
182;07.янв;0.34;0.15;01.фев;0.053;61;183;0.9936;03.сен;0.43;09.фев;5;;;;;;;;;;;;;;;;;;;;;;;;;
183;06.авг;0.28;0.4;22;0.048;48;167;1.001;фев.93;0.5;08.июл;5;;;;;;;;;;;;;;;;;;;;;;;;;
184;06.сен;0.27;0.4;14;0.05;64;227;0.9979;мар.18;0.58;09.июн;6;;;;;;;;;;;;;;;;;;;;;;;;;
185;06.авг;0.26;0.56;11.сен;0.043;64;226;0.997;03.фев;0.63;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
186;06.авг;0.29;0.56;11.сен;0.043;66;230;0.9972;03.фев;0.63;09.мар;5;;;;;;;;;;;;;;;;;;;;;;;;;
187;06.июл;0.24;0.41;09.апр;0.04;49;166;0.9954;03.дек;0.61;09.сен;6;;;;;;;;;;;;;;;;;;;;;;;;;
188;05.сен;0.3;0.23;04.фев;0.038;42;119;0.9924;мар.15;0.5;11;5;;;;;;;;;;;;;;;;;;;;;;;;;
189;06.авг;0.53;0.35;03.авг;0.034;26;109;0.9906;мар.26;0.57;12.июл;8;;;;;;;;;;;;;;;;;;;;;;;;;
190;06.май;0.28;0.28;08.май;0.047;54;210;0.9962;03.сен;0.54;08.сен;4;;;;;;;;;;;;;;;;;;;;;;;;;
